0.363																		
0.706	0.607																	
0.500	0.509	1.368																
0.887	0.334	0.382	0.261															
0.651	1.033	1.121	0.847	0.469														
0.475	0.857	1.217	1.182	0.297	1.224													
1.175	0.246	0.636	0.500	0.546	0.469	0.394												
0.562	1.238	0.941	0.731	0.448	1.659	1.141	0.394											
0.415	0.466	0.279	0.195	0.771	0.445	0.275	0.244	0.477										
0.398	0.432	0.260	0.182	0.762	0.412	0.254	0.234	0.440	1.843									
0.354	1.583	0.682	0.603	0.295	1.076	1.027	0.252	1.260	0.380	0.350								
0.486	0.524	0.330	0.231	0.852	0.521	0.321	0.284	0.556	1.688	1.574	0.430							
0.302	0.472	0.230	0.165	0.540	0.387	0.245	0.178	0.430	1.400	1.384	0.378	1.238						
1.931	0.367	0.698	0.491	0.919	0.651	0.469	1.134	0.569	0.432	0.412	0.358	0.503	0.313					
1.484	0.403	0.930	0.670	0.682	0.762	0.600	1.217	0.643	0.356	0.338	0.410	0.420	0.266	1.441				
1.182	0.610	0.882	0.603	0.857	1.039	0.686	0.740	0.924	0.572	0.537	0.586	0.674	0.437	1.202	1.188			
0.169	0.408	0.153	0.115	0.284	0.271	0.184	0.100	0.315	0.731	0.727	0.324	0.662	1.045	0.175	0.154	0.258		
0.311	0.614	0.271	0.199	0.497	0.469	0.304	0.184	0.530	1.210	1.154	0.486	1.161	1.511	0.323	0.285	0.477	1.076	
0.678	0.483	0.398	0.274	1.210	0.576	0.352	0.398	0.582	1.217	1.175	0.412	1.392	0.867	0.702	0.569	0.872	0.461	0.822
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

miyata_a=2_b=3.dat: Miyata converted by new = 2*exp(-3*old/max)																		
