2.36																		
1.64	2.01																	
2.18	2.11	0.80																
1.81	2.68	2.00	2.95															
1.84	1.41	1.41	2.11	2.36														
2.05	1.46	1.48	1.62	3.30	1.04													
1.24	2.55	1.93	1.72	2.47	2.73	2.41												
2.34	1.27	1.24	2.01	1.82	1.25	2.00	2.74											
2.39	2.86	2.19	2.65	1.92	2.75	3.25	3.06	2.49										
1.90	2.53	2.29	2.98	1.95	2.16	2.82	3.02	2.31	0.47									
2.30	1.33	1.46	1.90	2.87	1.31	1.12	3.10	1.73	2.24	2.00								
1.85	2.68	2.38	3.22	2.10	2.05	2.65	3.20	2.55	1.12	0.47	1.77							
2.95	3.03	2.79	3.20	2.23	3.22	3.73	3.30	2.62	0.71	1.23	2.90	1.89						
0.85	2.39	2.01	2.51	1.74	2.23	2.64	1.77	2.58	2.90	2.69	2.68	2.48	3.60					
0.60	2.23	1.09	1.96	1.21	1.54	2.18	1.40	1.77	2.41	2.10	2.18	2.04	2.78	0.99				
1.23	2.45	1.58	2.62	1.67	1.52	2.59	2.57	1.80	2.45	1.79	2.09	1.46	2.93	1.46	0.82			
4.01	3.00	4.58	5.38	3.99	2.94	3.79	5.05	3.49	3.90	3.05	2.89	3.05	3.69	4.33	4.07	3.60		
2.41	1.84	2.38	3.35	1.70	1.99	2.79	3.43	1.36	1.53	1.17	2.26	1.43	1.47	2.88	2.06	2.06	2.04	
1.39	2.47	1.99	2.26	1.78	2.32	2.58	2.06	2.40	0.82	0.75	1.99	0.94	1.47	2.21	1.88	1.87	3.92	1.95
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

XX
