2.92																			
1.78	2.04																		
2.37	2.34	0.65																	
1.39	3.06	2.83	3.48																
1.92	1.13	0.99	1.47	2.48															
2.46	1.45	0.85	0.9	3.26	0.84														
0.91	3.58	1.96	2.37	2.22	2.48	2.78													
2.17	0.82	1.29	1.72	2.56	0.32	0.96	2.78												
2.69	2.49	3.37	3.98	1.63	2.57	3.39	3.6	2.45											
2.76	2.62	3.49	4.1	1.65	2.7	3.53	3.67	2.59	0.14										
2.96	0.4	1.84	2.05	3.27	1.06	1.14	3.54	0.79	2.84	2.98									
2.42	2.29	3.08	3.69	1.46	2.3	3.13	3.34	2.19	0.29	0.41	2.63								
3.23	2.47	3.7	4.27	2.24	2.81	3.59	4.14	2.63	0.61	0.63	2.85	0.82							
0.06	2.9	1.8	2.4	1.33	1.92	2.48	0.97	2.15	2.62	2.7	2.94	2.36	3.17						
0.51	2.74	1.31	1.87	1.84	1.65	2.06	0.85	1.94	2.95	3.04	2.71	2.67	3.45	0.56					
0.9	2.03	1.4	2.05	1.45	1.12	1.83	1.7	1.32	2.14	2.25	2.1	1.86	2.6	0.87	0.89				
4.23	2.72	4.39	4.88	3.34	3.42	4.08	5.13	3.16	1.72	1.73	3.11	1.89	1.11	4.17	4.38	3.5			
3.18	2.02	3.42	3.95	2.38	2.48	3.22	4.08	2.27	0.86	0.94	2.42	0.93	0.48	3.12	3.33	2.45	1.06		
1.85	2.43	2.76	3.4	0.86	2.13	2.97	2.76	2.11	0.85	0.91	2.7	0.62	1.43	1.79	2.15	1.42	2.51	1.52	
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr	Val

miyata
